feature,importance
hour_sin,0.2626662574980294
htsi_score,0.147232093634536
htsi_lag_6,0.09249529259121643
hour,0.05120002397255845
rh_pct,0.04296668951963988
wind_speed_kmh,0.04178598321783551
day_of_year_sin,0.038345769662649326
day_of_year_cos,0.03689695231455836
day_of_year,0.03660659548979126
wbgt_proxy,0.03573312825973197
day_of_week,0.03176726728007265
population_density,0.02585121738379422
hour_cos,0.02384620307269354
heat_index_lag_1,0.02255364785860674
heat_index,0.02207391292855717
htsi_lag_3,0.018556411964453817
rh_lag_1,0.01563446359036131
shortwave_radiation_wm2,0.015325627986213433
temperature_c,0.014592580677562231
htsi_lag_1,0.013603773571933847
temperature_lag_1,0.010266107525204593
